Country,index,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Singapore,population,2112908,2152644,2191970,2228945,2262444,2291674,2317849,2344275,2375464,2414563,2463269,2520493,2583219,2646959,2708638,2766830,2823012,2880470,2943941,3016624,3099465,3190692,3287420,3385486,3481674,3576537,3670693,3761263,3844693,3919300,3980956,4032217,4086050,4160158,4265999,4409955,4584894,4772216,4945645,5086418
Slovak Republic,population,4546043,4585443,4627506,4671864,4718093,4766402,4816543,4867021,4915864,4961607,5003672,5042276,5077753,5110779,5141880,5170942,5197804,5222922,5246884,5270072,5292792,5314849,5335519,5353767,5368894,5380807,5389895,5396548,5401350,5404845,5407045,5408162,5409182,5411339,5415496,5422122,5430974,5441304,5451968,5462119
South Africa,population,23106584,23736249,24384286,25040691,25698624,26353940,27009603,27674353,28360792,29077186,29828924,30611185,31409842,32204995,32983394,33734360,34464223,35196881,35966236,36793907,37690924,38641823,39609488,40542036,41402400,42175740,42873355,43516225,44137342,44760380,45389577,46015405,46631364,47226670,47792787,48330914,48842462,49319363,49751503,50132817
Spain,population,34165661,34553119,34949102,35346395,35738587,36124485,36501995,36862658,37196233,37495321,37757496,37984198,38177151,38339878,38476148,38586351,38673057,38745231,38814280,38889158,38979222,39086335,39203352,39318577,39426834,39519508,39608652,39734033,39948910,40288457,40767010,41364726,42039800,42732092,43395441,44017887,44604384,45146258,45638113,46076989
Sri Lanka,population,12812407,13063663,13311145,13559172,13810647,14066703,14325640,14584167,14837618,15082771,15317817,15544043,15765034,15986020,16210466,16439169,16669911,16899425,17123045,17337048,17542866,17740936,17925624,18089720,18229498,18340596,18428257,18510095,18610110,18745084,18921794,19134096,19369853,19610604,19842536,20062070,20272269,20473799,20669142,20859949
Sudan,population,12079205,12436311,12814718,13212203,13627096,14057092,14502283,14965920,15452659,15964476,16505106,17069788,17641875,18198981,18726053,19215610,19674861,20121591,20581590,21073606,21603126,22164751,22753100,23358732,23974432,24601180,25241197,25889911,26541630,27193105,27840967,28488328,29146386,29830604,30551777,31314098,32113409,32941836,33537455,34136520
Sweden,population,8084965,8117863,8144217,8168135,8192569,8218933,8246302,8272581,8294604,8310467,8319266,8322909,8325682,8333446,8350392,8377422,8413155,8456561,8505752,8558829,8616729,8678657,8738894,8789976,8826949,8847421,8853934,8852650,8852487,8860153,8877022,8901831,8935392,8977965,9029345,9090707,9161374,9236872,9311110,9379687
Switzerland,population,6221393,6269871,6311231,6340818,6355947,6355012,6340979,6321339,6306326,6303346,6315530,6341096,6376512,6415987,6455375,6493102,6530777,6571061,6617925,6673738,6740104,6814701,6891266,6961228,7018702,7060963,7090483,7112948,7136740,7167908,7207987,7254975,7307078,7361231,7415007,7468350,7521613,7573204,7621211,7664318
Syria,population,6588936,6817940,7054361,7297254,7546139,7800152,8059995,8328592,8609920,8906543,9219690,9547693,9886629,10230958,10576592,10921760,11267240,11614542,11966274,12324116,12690183,13063423,13438799,13809349,14171130,14518843,14856464,15200324,15572833,15988534,16454926,16962918,17490104,18004797,18484122,18920727,19321300,19694259,20053743,20410606
Tanzania,population,14044480,14504837,14982938,15474884,15977990,16491445,17016577,17555450,18111097,18685789,19281182,19897071,20531760,21182600,21848290,22525148,23215060,23928658,24680404,25478979,26331511,27230502,28152305,29064223,29943732,30783155,31592450,32388671,33197305,34038161,34917073,35832494,36788281,37786946,38831024,39923609,41068185,42267667,43524738,44841226
Thailand,population,38004462,39109571,40219377,41319380,42398941,43453204,44483729,45494423,46492281,47482643,48460289,49422519,50379788,51346204,52328663,53339762,54368583,55370526,56284973,57072058,57711519,58225969,58671177,59126690,59650157,60258113,60933752,61660383,62408639,63155029,63898879,64642931,65370277,66060383,66698483,67276383,67796451,68267982,68706122,69122234
Togo,population,2165335,2225052,2278418,2328971,2379649,2430120,2480291,2533721,2594914,2666921,2751151,2846305,2949279,3055479,3161327,3266857,3372562,3475964,3574135,3665509,3747750,3822591,3897510,3982804,4085492,4208738,4349349,4500173,4650754,4793504,4926142,5050919,5170252,5288273,5408044,5529908,5652811,5776837,5901859,6027798
Trinidad and Tobago,population,977679,985548,992348,999650,1008617,1019403,1031694,1045600,1061140,1078200,1097067,1117461,1138006,1156858,1172735,1185012,1194138,1201224,1207942,1215494,1224233,1233753,1243590,1253000,1261443,1268851,1275460,1281396,1286871,1292058,1296962,1301576,1306065,1310622,1315386,1320418,1325672,1331040,1336349,1341465
Tunisia,population,5226965,5326668,5430023,5542400,5667516,5806713,5958456,6120018,6287287,6457092,6628154,6800734,6974955,7151430,7330267,7511099,7692463,7872065,8047027,8215111,8375587,8528401,8672916,8808669,8935523,9053410,9162870,9265266,9362447,9456117,9546453,9634180,9722180,9814009,9912114,10017832,10130368,10247325,10365089,10480934
Turkey,population,36245756,37054168,37884870,38730367,39585821,40446729,41316297,42206204,43132612,44105216,45130008,46198027,47285732,48360679,49399630,50393538,51349154,52278499,53200802,54130268,55068880,56012109,56959988,57911273,58864649,59821978,60783217,61742674,62692616,63627862,64544914,65446165,66339433,67235927,68143186,69063538,69992754,70923730,71846212,72752325
United Arab Emirates,population,272529,322868,383152,453530,533554,624390,724684,828378,927412,1016228,1092153,1157336,1217021,1279010,1349000,1428788,1516782,1611257,1709232,1808642,1909812,2014095,2121704,2232980,2348539,2473983,2611610,2755497,2897038,3033491,3149440,3254691,3400959,3658042,4069349,4662728,5405541,6206623,6938815,7511690
United Kingdom,population,55819499,55964697,56081455,56170690,56234250,56273041,56290629,56295032,56296406,56303011,56317534,56341308,56379327,56436762,56516908,56622956,56753658,56902081,57058173,57214474,57369629,57525459,57681639,57838596,57997210,58156871,58318771,58488026,58671413,58874117,59097129,59339971,59604347,59891788,60202727,60538143,60896101,61270318,61652315,62035570
United States,population,211355529,213250350,215164616,217113584,219108358,221161377,223274855,225436004,227624232,229825004,232035086,234261242,236510688,238794274,241119752,243495805,245920994,248381577,250857751,253339097,255807342,258275919,260803255,263468980,266323717,269393632,272643340,275986072,279300030,282496310,285544778,288467308,291290823,294063120,296820296,299564470,302284564,304989064,307686729,310383948
Uruguay,population,2817577,2820734,2821367,2823326,2829391,2840601,2856206,2874998,2894983,2914683,2933904,2953118,2972284,2991478,3010766,3029948,3048955,3068166,3088110,3109122,3131140,3153857,3177035,3200342,3223401,3246484,3269301,3290261,3307290,3319066,3324810,3325379,3323124,3321367,3322529,3327451,3335528,3345967,3357391,3368786
Venezuela,population,11045959,11428022,11827681,12245478,12681017,13135849,13607958,14088961,14567680,15036273,15490555,15932973,16370463,16813481,17269324,17740108,18222505,18711830,19201096,19685177,20162745,20635233,21103592,21569680,22034909,22499248,22962221,23424338,23886213,24348304,24810691,25273336,25736393,26199994,26664122,27128721,27593427,28057485,28519913,28979857
Vietnam,population,45957991,46994771,48015047,48987973,49895731,50724015,51490844,52250324,53076862,54023152,55109176,56317461,57616926,58959045,60307305,61647642,62986915,64333357,65702500,67101583,68535628,69987617,71416812,72769366,74008073,75117209,76111109,77020331,77890899,78758010,79629676,80500625,81377056,82262996,83161145,84075580,85007447,85951912,86901173,87848445
Zambia,population,4278863,4426079,4579560,4737942,4900255,5066012,5235519,5409528,5589172,5775165,5967511,6165560,6368542,6575403,6785211,6998307,7214499,7431752,7647450,7860053,8067972,8272498,8478471,8692599,8919456,9161931,9418120,9682058,9945115,10201562,10449825,10693471,10938261,11192422,11462365,11750105,12055384,12379612,12723746,13088570
Zimbabwe,population,5385233,5573154,5768190,5967705,6170260,6374197,6581329,6797807,7032001,7289463,7571447,7874642,8194203,8523090,8855279,9189169,9523376,9852244,10169188,10469202,10748215,11005690,11244552,11469872,11684693,11891290,12086519,12261742,12405236,12509477,12575015,12607791,12612956,12597877,12570686,12529655,12481245,12451543,12473992,12571454
Albania,energy produce,2.417555,2.961497,3.001078,2.706852,2.908727,3.077547,3.170348,3.47612,3.385785,3.428061,2.686667,2.650119,2.808069,3.010542,2.80917,2.998016,2.90255,2.891344,2.901368,2.449231,1.914788,1.398195,1.326482,1.277909,1.235984,1.324645,1.101871,1.085445,1.069951,0.986025,0.882889,0.959262,1.045889,1.152894,1.166305,1.191732,1.05478,1.153343,1.253804,1.253804
Algeria,energy produce,41.508705,54.737006,56.492399,53.270536,53.041934,58.7879,62.082146,69.510583,75.783874,65.73942,67.188604,67.341132,74.106118,77.039619,80.760694,84.112169,88.807379,90.97424,94.782835,100.113919,102.591249,104.211719,104.941104,100.625354,106.733897,112.671344,121.658483,127.111297,136.998197,142.245063,136.800251,143.142601,155.315759,157.89088,166.666786,164.941043,164.29683,162.04404,152.291931,152.291931
Angola,energy produce,9.118183,10.517158,11.679821,12.114147,11.395378,11.157755,10.713492,10.180688,10.995003,11.30057,10.304325,10.399685,12.906697,14.288149,15.743473,18.336721,22.321409,27.063631,27.188633,28.65203,29.95551,32.754745,30.53547,32.947805,36.414566,39.794024,41.559425,42.968403,43.552195,43.680183,43.455459,51.433983,51.348855,57.609529,70.906346,79.992848,95.054152,105.776517,100.957649,100.957649
Argentina,energy produce,30.558034,30.963026,30.525439,30.87503,30.636421,31.039932,32.698548,33.923963,36.350125,38.813502,39.45223,39.982124,41.994521,42.932576,42.555241,42.869722,43.317808,46.258197,47.240937,48.417108,50.216944,54.321957,56.949771,62.400778,66.876734,72.042808,77.473134,79.678457,80.057948,82.264724,84.487151,81.336356,84.268092,87.129602,84.68503,86.192461,82.870055,82.859384,80.818691,80.818691
Australia,energy produce,53.851584,62.427822,67.986076,67.501708,74.960477,75.251097,82.245542,81.624831,86.523293,85.411452,97.195974,98.61283,107.447975,118.360201,128.061251,136.469836,148.893304,136.73036,144.697975,157.52276,167.009605,172.132957,174.930373,173.463768,186.89752,189.754402,201.014656,216.482029,213.540449,233.553007,253.78578,263.493155,263.592776,269.289248,280.113535,281.479879,298.60728,301.041055,310.697653,324.019303
Austria,energy produce,7.3657,7.333098,7.918982,7.815792,7.804693,7.235834,7.668037,7.827508,8.007214,7.631624,7.413602,7.491028,7.302108,7.351998,7.562182,7.66297,8.057586,9.18982,8.619318,8.106591,8.348914,8.555253,8.765442,8.397036,8.737636,8.634448,8.706485,8.880723,9.721241,9.78019,9.774678,9.818513,9.601387,9.897677,10.057715,10.139932,10.88039,11.22421,11.399489,11.173349
Bahrain,energy produce,10.668372,10.078285,10.834016,11.46081,9.960307,10.332558,11.988633,11.707175,12.094941,11.988279,12.947323,10.613614,9.913123,11.134007,11.088597,12.610764,12.890039,13.160143,13.360681,13.436582,12.976631,13.479028,13.855595,13.586621,13.645589,13.924198,14.28856,14.727116,14.529192,14.860259,14.868471,15.269583,15.632907,15.825429,16.130536,16.496284,17.017255,17.492745,17.548,17.548
Bangladesh,energy produce,4.848384,5.034911,5.342521,5.475474,5.454962,5.783482,6.022901,6.174731,6.403336,6.745045,6.877708,7.329992,7.779706,7.972613,8.416695,8.950266,8.779616,9.823543,10.227282,10.757524,10.848011,11.365841,11.955994,12.453644,12.776677,12.959232,13.096902,13.698027,14.435544,15.156007,16.17819,16.738683,17.549391,18.425632,19.344268,21.22975,22.132222,23.394896,24.83791,24.83791
Belgium,energy produce,6.844569,6.567806,6.508643,6.157899,7.964727,8.679685,9.05849,8.275251,7.618412,8.092643,8.174805,9.067335,10.952515,12.113818,13.955585,14.690864,14.483725,13.436521,12.962132,13.104995,12.974006,12.725902,12.10177,11.621576,11.934801,12.356736,13.402557,13.107929,13.906126,13.733959,13.324558,13.497086,13.697137,13.747918,13.906965,13.771036,14.36896,14.544923,15.318384,15.354166
Benin,energy produce,1.002244,1.022016,1.042649,1.063758,1.08568,1.10765,1.130718,1.155935,1.182538,1.211576,1.459031,1.503883,1.326809,1.342723,1.70377,1.780652,1.764291,1.727287,1.718723,1.773571,1.80351,1.780254,1.837652,1.850554,1.851796,1.922699,1.887643,1.849654,1.785703,1.445199,1.490212,1.545447,1.57618,1.623353,1.672092,1.82713,1.884586,1.939868,1.995556,1.995556
Bolivia,energy produce,2.295122,3.787575,4.566603,4.456973,4.264549,4.368592,4.168967,4.035518,3.960951,4.365117,4.513145,4.718857,4.809148,4.746601,4.724652,4.65317,4.426754,4.632118,4.753042,4.923208,5.051706,5.057839,5.148215,5.570967,5.773392,5.94353,5.795725,5.988921,5.189814,5.542668,6.225027,7.051317,8.048395,10.762932,13.924507,14.650617,15.512347,16.167737,14.19463,14.19463
Brazil,energy produce,49.123539,50.384563,51.242141,53.580326,53.914063,54.17017,55.851786,57.175993,60.567522,64.350716,66.540713,71.070003,80.091316,94.046112,102.392228,101.971493,105.482226,104.727038,107.654361,104.18281,104.779115,104.744459,105.667578,110.690157,112.076973,118.613659,126.31308,133.51735,141.457914,148.281611,152.151862,167.435338,178.327102,182.645171,194.816957,206.475901,216.357092,228.20415,230.306734,230.306734
Brunei,energy produce,6.650612,9.348182,13.157206,13.599245,14.267909,17.663933,18.877121,18.915842,20.329516,21.136366,16.72195,16.979587,17.205741,16.405699,16.063442,15.638318,15.533858,15.146276,15.280745,15.641969,16.361923,17.52015,17.172934,17.616735,18.240947,17.670023,17.547633,16.962739,18.582591,19.684298,19.85199,20.265051,21.1968,20.749304,21.06028,22.317078,20.746827,21.126399,18.939296,18.939296
Bulgaria,energy produce,5.711711,5.597002,5.473678,5.153642,6.138401,6.358382,6.563719,6.730364,7.324449,7.737163,8.530339,9.355015,9.64703,9.942621,9.529828,9.875372,10.042621,10.500489,10.141536,9.612796,8.503472,8.832572,9.283871,9.422651,10.298072,10.675137,10.21619,10.157108,9.160102,9.917047,10.408272,10.65049,10.223419,10.270719,10.648893,11.036788,9.972111,10.244088,9.826067,9.826067
Cameroon,energy produce,2.452428,2.500934,2.551798,2.618934,2.689837,2.758003,2.871384,3.428534,5.034208,6.707204,8.068285,9.046784,9.371365,12.394558,12.483645,12.424024,12.578839,12.020082,11.58222,10.975515,10.727395,10.837544,10.449639,10.448163,9.796431,10.270713,10.909132,11.251785,10.991555,11.144664,10.695343,11.027134,10.896919,10.80787,10.507542,10.259914,9.245818,9.302138,8.84861,8.84861
Canada,energy produce,155.839438,176.817621,198.220176,191.869231,187.550298,182.130378,189.911283,191.056298,210.133116,207.418672,200.691897,202.696562,207.186156,228.717541,241.236447,239.695667,252.692583,272.776353,274.008837,273.717336,285.200007,294.239746,315.911326,338.450582,348.853145,358.347485,365.071997,365.402523,364.446152,372.70635,376.977296,384.070236,386.182572,397.85888,401.068547,410.759509,416.352836,406.069703,389.809663,395.774822
Chile,energy produce,5.343844,5.406665,5.080909,5.096815,4.9845,5.182813,5.272385,5.313172,5.015159,5.800682,6.213418,6.354188,6.486608,6.751039,6.807336,7.013529,7.074463,7.248873,7.443246,7.47039,7.890765,8.177554,7.776334,7.857382,7.846042,7.874127,7.909037,7.649946,7.497308,8.116106,8.607815,8.603595,8.09568,8.082955,8.873013,9.15706,8.49854,9.056046,9.298844,9.555788
China,energy produce,394.149333,414.703206,431.362966,446.053537,497.137764,511.819109,556.142,604.187729,618.544895,615.471891,612.319199,637.816706,669.29962,717.156779,743.484096,762.984661,785.556699,817.105857,858.568847,886.291565,894.967654,912.063523,940.492223,992.406692,1066.177709,1096.048854,1095.419446,1085.191677,1061.660836,1063.987071,1093.81881,1171.213405,1317.293326,1493.307914,1622.910757,1728.256827,1824.494206,1989.750545,2084.93971,2084.93971
Colombia,energy produce,19.370235,18.160506,17.185764,16.875231,17.07141,16.696594,16.696213,17.493729,17.618657,17.706875,18.449195,19.610784,20.596631,22.742238,24.932079,32.865635,39.552901,40.169913,44.058023,48.179174,46.545109,48.443408,49.354568,51.263864,60.102161,65.701575,67.589557,73.583985,76.500602,73.293529,72.965829,69.06448,74.274256,76.184293,79.47582,84.588182,87.602492,93.595657,99.149913,99.149913
"Congo, Dem. Rep.",energy produce,5.931695,6.094387,6.282338,6.406558,6.636989,8.055379,8.155097,8.106467,8.448383,8.581616,8.940906,9.264073,9.657791,10.283366,10.65811,10.911181,11.144025,11.360628,11.690963,12.018786,12.226447,12.458655,12.68189,13.112782,13.698435,14.15459,14.367468,14.651938,15.050791,17.509047,18.187103,18.696506,19.416642,20.222559,20.760088,21.406607,22.06996,22.66032,23.346441,23.346441
"Congo, Rep.",energy produce,0.334485,0.67187,2.439235,2.858984,2.217464,2.509669,2.247567,2.875264,3.230136,3.818581,4.597087,5.135737,5.869469,6.539904,6.414496,6.551966,6.938628,7.68978,8.66486,8.74618,8.783052,9.388828,10.317445,9.807072,10.050528,11.200941,12.463329,13.658269,14.597953,14.583648,13.595407,13.129842,12.067737,12.543116,13.641675,15.356076,12.512842,13.246662,15.275776,15.275776
Costa Rica,energy produce,0.663104,0.681088,0.685144,0.691958,0.69963,0.71851,0.693666,0.717493,0.736387,0.766998,0.784101,0.789841,0.831677,0.99349,1.003206,0.987306,1.011414,1.008755,0.994202,1.031848,1.055914,1.277035,0.973981,0.974688,0.961475,0.994319,1.028917,0.952537,1.107885,1.279397,1.266914,1.414206,1.443648,2.088518,2.310655,2.515549,2.756119,2.670193,2.70789,2.70789
Cote d'Ivoire,energy produce,1.639185,1.703716,1.758142,1.828099,1.899256,1.963148,2.02229,2.089534,2.212577,2.418893,2.847052,3.300061,3.599273,3.618402,3.801072,3.818248,3.748738,3.590379,3.305066,3.38249,3.457034,3.786314,3.929169,4.050265,4.247599,5.158505,5.440845,5.413304,6.024716,6.012421,5.973247,6.528463,6.781152,9.546539,10.628354,11.94203,11.500375,11.415161,11.890695,11.890695
Cuba,energy produce,5.346486,5.028697,5.2965,5.494043,5.568604,5.599666,6.054936,6.594018,6.837441,6.522338,6.561143,7.139824,7.287229,7.474208,7.423875,7.766504,7.893069,8.086953,8.665844,9.435236,8.350959,8.37546,6.548551,6.709586,6.185915,6.673146,6.530663,6.065027,6.906836,7.911764,8.163004,8.212328,8.021473,7.480903,6.286453,5.977874,5.809185,5.699096,5.565053,5.565053
Cyprus,energy produce,0.009122,0.009122,0.009122,0.004107,0.006257,0.007928,0.007928,0.008167,0.008406,0.006257,0.006018,0.006018,0.005779,0.006615,0.006734,0.006734,0.006495,0.006018,0.006018,0.006137,0.00554,0.005492,0.005469,0.011701,0.042435,0.043151,0.041623,0.04296,0.043653,0.04425,0.044464,0.044727,0.048094,0.050076,0.051023,0.051548,0.073125,0.082874,0.084619,0.084619
Denmark,energy produce,0.32922,0.434147,0.42616,0.447428,0.5264,0.596202,0.91253,0.877031,0.972047,0.952353,1.562655,2.576993,3.099001,3.534249,4.978662,6.50783,8.156036,8.307663,9.531944,10.081315,11.917763,12.918732,13.891163,15.09498,15.588285,17.666216,20.244138,20.387902,23.783727,27.734946,27.137503,28.585729,28.471376,31.106424,31.304336,29.548093,27.082494,26.622984,23.912977,23.206644
Ecuador,energy produce,1.38426,5.300272,11.902269,10.248167,9.469489,10.838059,10.718361,11.600236,11.917285,11.752435,12.050885,11.9381,13.654299,14.944565,15.977934,16.430222,10.55678,17.110784,16.032076,16.473853,17.284752,18.355178,19.689768,21.489165,22.127298,21.892071,21.97309,21.439843,21.443287,22.651694,22.98872,22.201206,23.709054,29.307337,29.419823,29.8883,28.914874,28.546762,27.324043,27.324043
Egypt,energy produce,16.356106,12.067633,9.83617,8.830719,13.252866,18.368855,23.114779,27.697742,29.012221,33.47858,36.156557,37.580491,40.809402,46.961549,51.207605,47.872288,53.278027,51.691527,53.59139,54.869055,55.531998,56.559618,59.780959,59.200388,59.807533,58.665375,57.687601,57.200052,59.319239,56.445821,57.004664,60.884043,64.430766,64.661723,76.909468,79.736685,82.278588,87.487141,88.186134,88.186134
El Salvador,energy produce,1.254892,1.294219,1.331474,1.392418,1.560391,1.900439,1.96442,2.093834,2.054563,1.912451,2.14768,2.24954,2.140146,2.182884,2.008121,1.650616,1.79907,1.641557,1.654572,1.692471,1.717533,1.748195,1.733922,1.752977,1.791133,1.82241,1.850588,1.849547,2.002591,2.119483,2.284551,2.321301,2.394748,2.391597,2.489458,2.630712,2.900363,3.109857,3.164434,3.164434
Ethiopia,energy produce,8.127935,8.340821,8.559744,8.785554,9.019115,9.262271,9.513995,9.776069,10.047868,10.329988,10.61972,10.92359,11.235345,11.557441,11.882948,12.243638,12.633513,13.057158,13.520058,14.052081,14.53773,15.044475,14.646858,15.089204,15.501528,15.893024,16.26041,16.774901,17.170775,17.569777,18.014281,18.444351,18.902144,19.368948,19.852509,20.356763,28.760512,29.58116,30.372986,30.372986
Finland,energy produce,4.983174,4.876977,4.883565,4.98557,4.369485,4.159816,5.05634,5.340601,6.432483,6.912459,8.963357,10.095299,10.177807,10.529418,10.376081,11.320635,10.690654,11.208183,11.649568,12.080846,11.169618,12.121623,11.811901,12.999282,13.159423,13.613464,15.039707,13.587455,15.402865,15.072918,15.08767,16.08347,16.013029,15.803637,16.660502,18.190311,16.136524,16.512085,16.553006,17.152648
France,energy produce,47.608053,46.850829,44.172997,42.307016,43.56956,41.106903,44.503531,45.713214,47.845912,52.60013,63.971144,63.55577,73.000499,85.058268,93.319642,99.848288,103.756056,104.458649,109.318308,111.869066,118.501932,120.176755,126.391077,123.777663,127.845133,131.80358,128.743218,125.423357,127.14897,130.80153,132.120519,134.183805,135.84852,137.042127,137.044531,137.22749,135.289133,137.272047,129.500866,135.794587
Gabon,energy produce,6.453321,7.006439,8.639835,11.165269,11.944803,11.854541,11.839246,11.165111,10.905229,9.44105,8.345786,8.590628,8.605646,8.681022,9.432838,9.12639,8.645033,8.835542,11.159957,14.630226,15.932105,15.862087,16.826211,18.485592,19.766904,19.914779,20.144103,19.164724,17.234045,15.141132,14.427661,14.120809,15.115696,15.112604,14.940737,13.535557,13.785418,13.509674,13.586888,13.586888
Germany,energy produce,175.207813,171.88471,171.660616,173.142376,172.162031,174.081666,173.317584,174.861169,182.173019,185.624892,192.313814,193.061382,189.724098,197.716189,209.322801,200.065217,199.527381,202.316314,200.505497,186.166593,168.303511,163.241575,151.998991,145.140276,145.026649,143.255737,143.576406,135.969709,137.173141,135.336203,134.702341,134.518425,135.857882,137.996052,135.352609,136.403034,137.534653,133.533076,127.089305,129.196907
Ghana,energy produce,2.337286,2.473014,2.625472,2.763161,2.823158,2.916536,3.012636,3.025658,3.207209,3.305056,3.376937,3.41709,3.290478,3.333142,3.552322,3.79322,3.948316,4.091008,4.26589,4.39161,4.63751,4.835128,4.973154,5.127116,5.252582,5.411468,5.542256,5.413265,5.640273,5.883694,5.995137,5.987512,6.017144,6.266104,6.424722,6.552097,6.517478,6.858415,7.047452,7.047452
Greece,energy produce,2.084944,2.167551,2.334359,2.446358,2.927152,3.45612,3.616021,3.484023,3.763643,3.695947,4.416729,5.511167,5.947508,6.423983,6.932202,7.224954,8.050485,8.251188,8.857861,9.198313,9.035093,8.955649,8.977658,9.150012,9.298369,9.120281,9.558713,9.831605,9.534359,9.986056,9.964677,10.228615,9.904765,10.300222,10.314473,10.066929,10.171351,9.862455,10.079843,9.187557
Guatemala,energy produce,1.933763,1.982878,2.041313,2.097522,2.444566,2.603714,2.644207,2.660269,2.775081,2.583096,2.668612,2.88204,2.893348,2.819389,2.783945,3.046882,3.081745,3.150054,3.254021,3.390607,3.5045,3.622851,3.616686,3.609918,3.830064,4.23893,4.673177,4.966398,5.366851,5.237755,5.2294,5.407693,5.474923,5.438354,5.496848,5.431648,5.443257,5.385061,6.051621,6.051621
Haiti,energy produce,1.378001,1.430735,1.467199,1.519861,1.57566,1.623177,1.672713,1.735007,1.807493,1.876832,1.568957,1.588128,1.610168,1.617542,1.632386,1.222614,1.243299,1.272535,1.281667,1.252525,1.267876,1.347072,1.339065,1.373341,1.392327,1.596439,1.588146,1.626133,1.61922,1.541745,1.542748,1.732741,1.673351,1.653722,1.92051,1.968475,2.0056,1.989224,1.866663,1.866663
Honduras,energy produce,1.01219,1.038752,1.059004,1.089944,1.112081,1.135656,1.170264,1.210503,1.245929,1.314624,1.333237,1.367792,1.389141,1.404659,1.467898,1.477855,1.561383,1.59897,1.631149,1.694034,1.701815,1.694934,1.704192,1.669848,1.661022,1.697561,1.903542,1.896033,1.476831,1.522207,1.494385,1.545723,1.62157,1.665928,1.772997,1.976494,2.119478,2.07803,2.194857,2.194857
"Hong Kong, China",energy produce,0.03102,0.032668,0.032668,0.034053,0.034292,0.035701,0.034292,0.035701,0.037324,0.038709,0.038948,0.040357,0.040357,0.040357,0.041981,0.041981,0.041981,0.04339,0.04339,0.04339,0.04339,0.043629,0.045014,0.045014,0.046662,0.048047,0.048453,0.048858,0.049312,0.049766,0.050124,0.050339,0.050244,0.050649,0.050864,0.051285,0.051786,0.052168,0.052383,0.052383
Hungary,energy produce,11.848455,11.786111,12.698794,12.728657,12.535657,13.483988,14.051707,15.351575,14.656614,14.489459,14.420646,14.917923,15.058196,15.614058,16.408225,16.07979,16.795226,16.375501,16.050636,14.587588,14.309287,13.915618,13.697738,13.284761,13.891507,13.643666,13.325705,12.463756,11.919493,11.617764,11.301989,11.198632,10.411103,10.236113,10.368943,10.335673,10.224681,10.496496,11.004352,10.977234
Iceland,energy produce,0.42295,0.458871,0.541292,0.53083,0.578569,0.614933,0.676616,0.709187,0.844894,0.904105,1.096287,1.161586,1.229884,1.250893,1.252467,1.275971,1.316087,1.371745,1.409711,1.400157,1.43741,1.389667,1.491415,1.480871,1.565249,1.615973,1.682159,1.81388,2.190615,2.305522,2.451178,2.461946,2.457164,2.519101,2.636109,3.258679,3.951965,4.355136,4.402322,4.567625
India,energy produce,141.561494,145.862106,148.982316,156.525893,165.652696,169.843514,174.143393,177.541583,180.834349,186.87269,200.04886,210.683407,221.459562,233.159094,239.406879,251.182059,259.229068,272.977496,281.492909,291.815571,301.566903,306.200264,309.855966,321.067025,335.77305,342.259315,353.067096,351.942917,359.444218,366.405465,374.521605,383.620378,396.350997,409.452197,422.37746,437.872637,452.732114,468.291227,502.469734,502.469734
Indonesia,energy produce,71.73586,81.68775,94.890732,97.027786,94.310087,105.666991,118.438185,120.219258,121.860921,125.588163,127.910793,114.613332,117.569801,134.795369,128.764805,136.895973,136.886024,139.586363,149.120144,169.076363,183.415117,187.52662,194.514953,208.006036,216.049303,224.487095,229.242198,230.457749,244.210864,236.255839,241.572525,248.022386,254.899234,264.844637,279.975911,313.672858,318.303276,323.803222,351.841454,351.841454
Iran,energy produce,238.648402,266.820622,309.730543,318.594453,284.876552,313.3737,300.611211,277.024394,171.849969,80.75706,79.428622,129.632389,132.998865,119.790363,122.49923,101.707327,128.653755,125.071751,160.208241,179.315451,196.109214,202.073956,214.688392,218.142234,223.718726,224.920219,225.491136,229.484092,256.528236,267.095203,259.463823,265.425087,294.489196,306.846356,317.858448,328.552991,344.920782,344.753949,349.781692,349.781692
Iraq,energy produce,85.980103,74.610071,102.86533,100.401332,115.423798,123.67092,119.517651,131.476664,177.552857,135.499032,45.231098,50.878662,49.618698,61.161864,73.048034,87.24518,109.386659,137.149654,148.117779,104.933514,16.651594,23.970797,27.304866,30.219516,31.32948,32.740074,65.464087,109.946397,130.749743,135.297551,134.177638,115.68926,80.387779,104.429341,97.447535,101.284883,105.25793,117.963638,119.640114,119.640114
Ireland,energy produce,1.423389,1.371387,1.120353,1.308393,1.659621,1.408772,1.331868,1.123662,1.466523,1.893587,2.48783,3.033079,3.207843,3.629231,2.845285,2.635666,3.009024,2.873078,3.760464,3.466887,3.286776,3.081648,3.451065,3.559597,4.100518,3.539013,2.852639,2.460119,2.459606,2.158309,1.774824,1.54422,1.834341,1.859395,1.634096,1.59627,1.40565,1.516336,1.528673,1.945323
