Country,index,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Colombia,population,21861689,22381887,22898136,23421644,23960605,24517307,25089511,25675364,26271401,26874906,27485678,28104254,28729367,29359535,29993539,30630754,31270841,31913250,32557521,33203321,33849971,34497319,35146220,35797965,36453337,37112621,37775054,38439099,39102653,39764166,40422597,41078136,41731914,42385712,43040558,43696540,44352327,45005782,45654044,46294841
"Congo, Dem. Rep.",population,20845085,21431338,22032669,22658905,23316776,24011465,24740389,25493382,26255837,27018690,27781042,28551259,29341286,30167580,31044153,31963766,32927332,33965482,35117790,36406226,37856212,39443819,41081774,42650247,44067369,45295039,46369335,47373590,48429878,49626200,50989424,52491329,54098245,55754885,57420522,59088415,60772175,62474901,64204304,65965795
"Congo, Rep.",population,1375987,1418826,1463231,1508675,1554793,1601410,1648671,1696922,1746676,1798285,1851889,1907330,1964298,2022343,2081152,2140687,2201097,2262489,2325035,2388902,2453938,2520196,2588270,2658948,2732706,2810118,2890841,2973329,3055437,3135773,3213330,3288923,3365171,3445765,3533177,3628561,3730612,3836339,3941454,4042899
Costa Rica,population,1865039,1908913,1953184,1999429,2048812,2101762,2158073,2217457,2279362,2343345,2409385,2477549,2547555,2619058,2691778,2765657,2840660,2916566,2993136,3070240,3147451,3224849,3303412,3384498,3468918,3557095,3648263,3740578,3831504,3919180,4002946,4083197,4160438,4235605,4309413,4381820,4452608,4522124,4590790,4658887
Cote d'Ivoire,population,5655462,5909848,6180001,6466158,6768313,7086257,7419474,7767109,8128032,8500985,8885888,9281593,9684478,10089976,10494827,10896269,11294791,11694318,12100741,12517730,12945880,13381799,13820229,14253952,14677200,15089912,15492127,15878555,16242889,16581653,16892864,17180649,17455501,17731840,18020946,18325979,18646754,18987007,19350026,19737800
Cuba,population,8855989,9010586,9160532,9298895,9420828,9525242,9614061,9689324,9754343,9812223,9862283,9905577,9949046,10001593,10069187,10155111,10256694,10366500,10473701,10570328,10654121,10727088,10790686,10847842,10900795,10949206,10992290,11031429,11068382,11104313,11140168,11175434,11208029,11234970,11254242,11265124,11268687,11266905,11262628,11257979
Cyprus,population,620987,628140,635261,642496,649918,657685,665676,673386,680130,685510,689265,691792,694146,697782,703752,712396,723434,736531,751100,766663,783189,800707,818858,837205,855424,873277,890758,908059,925504,943294,961482,979874,998134,1015806,1032562,1048272,1063027,1077001,1090473,1103647
Denmark,population,4959083,4987806,5014503,5038752,5060227,5079015,5095133,5108145,5117514,5123026,5124545,5122696,5118998,5115476,5113701,5114172,5116854,5122098,5130127,5141034,5155038,5172040,5191370,5212071,5233364,5255213,5277572,5299649,5320488,5339501,5356055,5370507,5384487,5400280,5419444,5442644,5469130,5497312,5524874,5550142
Ecuador,population,6150690,6333049,6519792,6711284,6907740,7109119,7315156,7525548,7739894,7957811,8178948,8403034,8629832,8859125,9090592,9323745,9557974,9792658,10027109,10260587,10493498,10725281,10953182,11173647,11384506,11584074,11774005,11959586,12148188,12345023,12552036,12767415,12987992,13208869,13426402,13639708,13849721,14056740,14261566,14464739
Egypt,population,36751162,37577248,38409289,39258086,40132189,41033408,41961731,42921556,43917526,44952497,46025305,47133557,48276547,49453054,50659625,51899728,53166492,54433720,55667119,56843275,57952386,59004372,60020423,61032081,62063810,63120498,64199588,65309201,66457136,67648419,68888032,70174632,71498433,72844998,74203215,75568453,76941572,78323298,79716203,81121077
El Salvador,population,3836884,3937757,4037935,4136133,4231358,4323383,4412237,4497535,4578922,4656263,4729467,4798918,4865611,4930893,4995888,5060307,5124240,5189565,5258654,5332842,5413269,5498489,5584047,5663820,5733401,5791403,5839103,5878097,5911094,5940305,5966027,5988233,6008523,6028792,6050513,6074487,6100868,6129628,6160423,6192993
Ethiopia,population,29777985,30642920,31503206,32289683,32958964,33486288,33903618,34294030,34773640,35426282,36282554,37319328,38500829,39768079,41077517,42417873,43802479,45240322,46747612,48333261,49998845,51730288,53502211,55281054,57042197,58774378,60481739,62174171,63868806,65577897,67303731,69040669,70784012,72526620,74263861,75993403,77718436,79446419,81187751,82949541
Finland,population,4622759,4644371,4668510,4691674,4711432,4726845,4739016,4750001,4762803,4779488,4800928,4826163,4853221,4879235,4902206,4921232,4937130,4951685,4967527,4986441,5009160,5034766,5061394,5086368,5107802,5125177,5139257,5151024,5161995,5173370,5185180,5197305,5210595,5226067,5244342,5265936,5290431,5316334,5341546,5364546
France,population,51161640,51572812,51980081,52358648,52691826,52974009,53214788,53431051,53646954,53880143,54135673,54408866,54695692,54988578,55281465,55575215,55870924,56162822,56443567,56708260,56956057,57189616,57412239,57628904,57844501,58057570,58270419,58496138,58751572,59047795,59390720,59774531,60183884,60596691,60996506,61378065,61744596,62098413,62444770,62787427
